Engagement ID 188131665946946563
Time	Speaker	Engagement Lines
06/09 16:20:03	Customer	you’re professional agents and being paid to support customer, just disconnecting chat wantedly and saying on customers face. Does you
06/09 16:20:41	Agent-Freehand	I understand, what I'll do for you is, I'll take this as as feedback and also have this recorded under a complaint as well for you
06/09 16:20:54	Customer	**just imagine if any one of a customer service agent do that to you when you’re discussing an important topic
06/09 16:22:16	Customer	how does that feel, i definitely feel bad and yes, I got the whole transcript and will be posting on social media with what has happened to me. This is not a joke, I am loosing my money. So, you feel good if you loose money?
06/09 16:23:28	Customer	Don’t worry Karan, I am going to raise a complaint from my end on Twitter. This should prove how fraud British Gas is doing to their customers, billing the,
06/09 16:24:24	Customer	*billing them based on estimated meter readings. Wow, lovely man..! Better come and take our cards and steal money from it directly rather doing this way.
06/09 16:24:43	Agent-Freehand	"I can raise this complaint for you, and being a floor manager, I'll make sure your feedback is heard, and we will work towards to improves our services and training as well

if you can just confirm the email address for me
I'll get it done for you"
06/09 16:26:14	Customer	Managers, QA,Complaints team and yes of course the LOB and British Gas, have a look at your services. Customers being very happy with them, should we clap for you guys. Tell us if yes.
06/09 16:29:47	Agent-Freehand	We are trying are level best to provide best customer service as well, but if a customer gives a feedback about an issue, we definitely check and work on it
06/09 16:29:57	Agent-Freehand	as much as possible*
06/09 16:33:08	Customer	Are you guys even doing?
06/09 16:34:02	Customer	Who will give refund for the payments I made in which they were estimated.
06/09 16:34:09	Customer	most of them
06/09 16:35:36	Customer	If you can’t then just let me know, I will take care of this from my end on social media.
06/09 16:36:47	Customer	I will definitely let other British Gas customers know how you’re dealing it based on estimated billing, and how you’re robbing us. This is such a big fraud.
06/09 16:36:47	Agent-Freehand	"I can help you, if the bill was estimated, we can cancel the bill which is issued on incorrect estimated readings
Issue a correct bill on current actual readings and if there's any credit balance after the new bill, I can check and refund back to you"
06/09 16:37:18	Customer	Yes
06/09 16:37:21	Customer	do that
06/09 16:38:14	Agent-Freehand	Please confirm the email address for me, I'll check it
06/09 16:38:26	Customer	Saik3076@gmail.com
06/09 16:39:17	Agent-Freehand	"Thanks for confirming Manoj
Please allow me a moment to go through the account for you"
06/09 16:43:14	Customer	Ok
06/09 16:48:22	Agent-Freehand	"Firstly, I would like to inform you that there's already a Complaint Number: 8012411746

And also I can see that we have issued you a new bill on current metering today and previous estimated bills were cancelled

The new bill is as follows
gas bill amount is £755.32 for 209 days and current gas balance is £215.36 debit
Electric bill amount is £575.35 for 209 days and current balance is £302.43 debit"
06/09 16:52:06	Customer	Boss, I know what I am looking at and what my bills are.
06/09 16:52:16	Customer	I said the same thing to previous agents
06/09 16:52:22	Customer	let me clarify this to you
06/09 16:53:00	Customer	my concern is what happens to the old payment which I made, which is £539.96 and £402.94
06/09 16:54:03	Agent-Freehand	It's all adjusted with the bill
06/09 16:54:16	Agent-Freehand	The payments that you have made is all with us and we have adjusted with the bill
06/09 16:54:50	Customer	then why is it still showing £215.36
06/09 16:57:32	Agent-Freehand	"Because, the previous bill which has been issued on the account, since the bill was due, and since the system didn't receive meter readings, the automated system estimated the readings and issued the bill

But the previous bill which was issued, the estimated readings was less than your average usage, due to which the bill amount was less

So when we received the actual readings, all the unbilled usage in the previous bills get added to the current bill"
06/09 17:00:30	Customer	But the thing is we have not been informed to submit the meter readings and that is what my concern is. So if I haven’t been told to submit the readings, how would we know that. Though we paid I without knowing we are being scammed
06/09 17:01:17	Customer	so to sum this up, we have been cheated and now who is responsible for my payments, is it you or is it British Gas
06/09 17:01:34	Agent-Freehand	"The balance which is on the account is for your energy consumption only
We haven't overcharged you at all

I'm just checking the notification setting on the account for meter reading reminder"
06/09 17:02:45	Customer	you Guys didn’t over charged me but cheated and stole my money
06/09 17:02:53	Customer	Which is complete fraud
06/09 17:04:29	Agent-Freehand	"Really sorry to hear this
We never cheat our customers

The amount you have paid us is just for your energy consumption, otherwise we don't charge anything else apart from that"
06/09 17:04:50	Agent-Freehand	If you are unable to pay off the balance in full, we can help you setup a payment plan with us
06/09 17:05:13	Customer	British Gas did cheat me,don’t say that they never did
06/09 17:05:26	Agent	Agent 'Karan.Singh' loses connection
06/09 17:06:03	Agent	Agent 'KetanSiddhpura.Ketan' enters chat (as Ketan)
06/09 17:07:36	Customer	i have proofs now on how British Gas cheated me so with this I will post everything on social media
06/09 17:07:37	Agent	Agent 'KetanSiddhpura.Ketan' exits chat
06/09 17:07:38	Agent	Agent 'Karan.Singh' enters chat (as Karan)
06/09 17:09:38	Agent-Freehand	"I really understand your situation
I have recorded all your comments on the complaint for you

If you can confirm the contact number for me
I'll have it updated and also our customers relations will check and get back to you to speak about this within 14 days or sooner"
06/09 17:12:14	Agent-Freehand	This chat will end in 60 seconds, please send a message to continue
06/09 17:12:33	Customer	Yes
06/09 17:12:48	Customer	07798602989
06/09 17:15:36	Agent-Freehand	"Thank you Manoj
I'll make a note of this on the account and complaint

Really sorry for the trouble and inconvenience "
06/09 17:15:57	Agent-Freehand	You can view our complaint handling procedure on our website, link given below - https://britishgas.co.uk/complaints
06/09 17:16:22	Customer	Thanks
06/09 17:16:25	Customer	bye
06/09 17:16:38	Customer	I would expect the issue to be resolved
06/09 17:16:50	Customer	Customer Closed Chat Window
06/09 17:19:05	Agent	Agent 'Karan.Singh' exits chat


Word affiliation, uncovering mental portrayals and associations of humans, has been generally concentrated in brain science. However, the size of accessible acquainted signal reaction words is harshly limited because of the customary physically gathering approach. In the meantime, with the huge accomplishment in (NLP) technique tasks, an extremely huge measure of plain messages can be effectively obtained. This proposes a knowledge about discovering affiliation words from the content corpus rather than physically assortment. This paper moves toward proposing a profound learning-based structure for programmed affiliation word extraction as a unique endeavor. The Framework comprises two phases of affiliation word identification and machine affiliation network development. Specifically, consideration instrument-based Reading Comprehension (RC) calculation is investigated to discover important affiliation words consequently. To approve the worth of the extricated affiliation words, the connection coefficient between semantic similitudes of a machine and human affiliation words is presented as a viable estimation for assessing affiliation consistency. The investigation further confirms that the machine affiliation words are for the most part steady with human affiliation words as for semantic likeness, which features the promising usage of the machine affiliation words, later on, explores both brain science and NLP.
